,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,party,state,industry,sector,senator,ptr_link,disclosure_date
1626,2020-08-27,Child,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",Child #2,Republican,PA,Computer Manufacturing,Technology,Patrick J. Toomey,https://efdsearch.senate.gov/search/view/ptr/7c9adca9-c82a-49a8-b6d0-a5bc200a0dbc/,2020-09-11
1628,2020-08-21,Spouse,WFC,Wells Fargo &amp; Company,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Major Banks,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1629,2020-08-21,Spouse,DIS,The Walt Disney Company,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Services-Misc. Amusement & Recreation,Consumer Services,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1630,2020-08-21,Spouse,V,Visa Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Business Services,Miscellaneous,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1631,2020-08-21,Spouse,TXN,Texas Instruments Incorporated,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Semiconductors,Technology,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1632,2020-08-21,Spouse,JPM,JPMorgan Chase &amp; Co.,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Major Banks,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1633,2020-08-21,Spouse,KO,The Coca-Cola Company,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Beverages (Production/Distribution),Consumer Non-Durables,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1634,2020-08-21,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Republican,KS,Computer Manufacturing,Technology,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1635,2020-08-21,Spouse,ALL,The Allstate Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Property-Casualty Insurers,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1636,2020-08-21,Spouse,ABBV,AbbVie Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Major Pharmaceuticals,Health Care,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1637,2020-08-21,Spouse,KR,The Kroger Co.,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Food Chains,Consumer Services,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1638,2020-08-21,Spouse,CVX,Chevron Corporation,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Integrated oil Companies,Energy,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1640,2020-08-21,Self,WFC,Wells Fargo &amp; Company,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Major Banks,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1641,2020-08-21,Self,DIS,The Walt Disney Company,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Services-Misc. Amusement & Recreation,Consumer Services,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1642,2020-08-21,Self,V,Visa Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Business Services,Miscellaneous,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1643,2020-08-21,Self,TXN,Texas Instruments Incorporated,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Semiconductors,Technology,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1645,2020-08-21,Self,OXY,Occidental Petroleum Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Oil & Gas Production,Energy,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1646,2020-08-21,Self,MPC,Marathon Petroleum Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Integrated oil Companies,Energy,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1647,2020-08-21,Self,JPM,JPMorgan Chase &amp; Co.,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Major Banks,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1648,2020-08-21,Self,COST,Costco Wholesale Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,Republican,KS,Department/Specialty Retail Stores,Consumer Services,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1649,2020-08-21,Self,KO,The Coca-Cola Company,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Beverages (Production/Distribution),Consumer Non-Durables,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1651,2020-08-21,Self,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Republican,KS,Computer Manufacturing,Technology,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1652,2020-08-21,Self,ALL,The Allstate Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Property-Casualty Insurers,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1653,2020-08-21,Self,ABBV,AbbVie Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,Republican,KS,Major Pharmaceuticals,Health Care,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1654,2020-08-21,Self,KR,The Kroger Co.,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Food Chains,Consumer Services,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1655,2020-08-21,Self,USB,U.S. Bancorp,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Major Banks,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1656,2020-08-21,Self,JNJ,Johnson &amp; Johnson,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Major Pharmaceuticals,Health Care,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1657,2020-08-21,Self,INTC,Intel Corporation,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Semiconductors,Technology,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1658,2020-08-21,Self,GILD,"Gilead Sciences, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1659,2020-08-21,Self,CVS,CVS Health Corporation,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Medical/Nursing Services,Health Care,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1660,2020-08-21,Self,CVX,Chevron Corporation,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Integrated oil Companies,Energy,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1661,2020-08-21,Self,BAC,Bank of America Corporation,Stock,Purchase,"$1,001 - $15,000",--,Republican,KS,Major Banks,Finance,Jerry Moran,https://efdsearch.senate.gov/search/view/ptr/5809a671-cb5c-46c3-a6ec-35481814e274/,2020-09-08
1663,2020-08-21,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",--,Democrat,DE,Finance Companies,Finance,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,2020-09-01
1666,2020-08-21,Spouse,ARE,"Alexandria Real Estate Equities, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,Democrat,DE,Real Estate Investment Trusts,Consumer Services,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,2020-09-01
1667,2020-08-21,Spouse,CONE,CyrusOne Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,Democrat,DE,Real Estate Investment Trusts,Consumer Services,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,2020-09-01
1670,2020-08-06,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",--,Democrat,DE,Finance Companies,Finance,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/f0b85f0f-b240-40da-b15e-0caf27b58e1a/,2020-09-01
1673,2020-08-27,Spouse,AAPL,Apple Inc.,Stock,Sale (Full),"$50,001 - $100,000",R,Republican,KS,Computer Manufacturing,Technology,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1674,2020-08-05,Spouse,BA,The Boeing Company,Stock,Purchase,"$15,001 - $50,000",R,Republican,KS,Aerospace,Capital Goods,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1675,2020-08-19,Spouse,WMT,Walmart Inc.,Stock,Purchase,"$1,001 - $15,000",555,Republican,KS,Department/Specialty Retail Stores,Consumer Services,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1676,2020-08-18,Spouse,GOLD,Barrick Gold Corporation,Stock,Purchase,"$1,001 - $15,000",555,Republican,KS,Precious Metals,Basic Industries,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1677,2020-08-18,Spouse,BBY,"Best Buy Co., Inc.",Stock,Purchase,"$1,001 - $15,000",555,Republican,KS,Consumer Electronics/Video Chains,Consumer Services,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1679,2020-08-17,Spouse,NVAX,"Novavax, Inc.",Stock,Purchase,"$1,001 - $15,000",555,Republican,KS,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1680,2020-08-27,Spouse,AAPL,Apple Inc.,Stock,Sale (Full),"$50,001 - $100,000",sep,Republican,KS,Computer Manufacturing,Technology,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1681,2020-08-03,Spouse,TSLA,"Tesla, Inc.",Stock,Purchase,"$50,001 - $100,000",sep,Republican,KS,Auto Manufacturing,Capital Goods,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1682,2020-08-03,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$50,001 - $100,000",sep,Republican,KS,Computer Manufacturing,Technology,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1683,2020-07-31,Spouse,AAPL,Apple Inc.,Stock,Sale (Full),"$50,001 - $100,000",Sep,Republican,KS,Computer Manufacturing,Technology,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/ee7d87c0-21be-482b-9e7b-3caf7a6fff24/,2020-08-30
1684,2020-08-20,Child,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",Underlying asset of dependent child #3,Democrat,OR,Consumer Electronics/Video Chains,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1685,2020-08-20,Child,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",Underlying asset of dependent child #2,Democrat,OR,Consumer Electronics/Video Chains,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1686,2020-08-20,Child,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",Underlying asset of dependent child #1,Democrat,OR,Consumer Electronics/Video Chains,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1687,2020-08-21,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Semiconductors,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1688,2020-08-21,Spouse,UPS,"United Parcel Service, Inc.",Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Trucking Freight/Courier Services,Transportation,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1689,2020-08-21,Spouse,FDX,FedEx Corporation,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Air Freight/Delivery Services,Transportation,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1690,2020-08-21,Spouse,SQ,"Square, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Computer Software: Prepackaged Software,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1691,2020-08-21,Spouse,T,AT&amp;T Inc.,Stock,Sale (Full),"$50,001 - $100,000",--,Democrat,OR,Telecommunications Equipment,Public Utilities,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1692,2020-08-21,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,OR,Integrated oil Companies,Energy,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1693,2020-08-19,Spouse,UPS,"United Parcel Service, Inc.",Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Trucking Freight/Courier Services,Transportation,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1694,2020-08-19,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Semiconductors,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1695,2020-08-19,Spouse,KR,The Kroger Co.,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Food Chains,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1696,2020-08-19,Spouse,FDX,FedEx Corporation,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Air Freight/Delivery Services,Transportation,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1697,2020-08-18,Spouse,LOW,"Lowe's Companies, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,RETAIL: Building Materials,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1699,2020-08-17,Spouse,UPS,"United Parcel Service, Inc.",Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Trucking Freight/Courier Services,Transportation,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1700,2020-08-14,Spouse,UPS,"United Parcel Service, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Trucking Freight/Courier Services,Transportation,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1701,2020-08-14,Spouse,PSA,Public Storage,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Real Estate Investment Trusts,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1702,2020-08-14,Spouse,FDX,FedEx Corporation,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Air Freight/Delivery Services,Transportation,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1703,2020-08-11,Spouse,F,Ford Motor Company,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Auto Manufacturing,Capital Goods,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1705,2020-08-07,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Computer Manufacturing,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1706,2020-08-05,Spouse,WDAY,"Workday, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Democrat,OR,EDP Services,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1707,2020-08-05,Spouse,PSA,Public Storage,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Real Estate Investment Trusts,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1708,2020-08-05,Spouse,KR,The Kroger Co.,Stock,Purchase,"$1,001 - $15,000",--,Democrat,OR,Food Chains,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1710,2020-08-05,Spouse,COUP,Coupa Software Incorporated,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Computer Software: Prepackaged Software,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1711,2020-08-05,Spouse,CLX,The Clorox Company,Stock,Purchase,"$1,001 - $15,000",--,Democrat,OR,Specialty Chemicals,Consumer Durables,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1712,2020-08-05,Spouse,BYND,"Beyond Meat, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Packaged Foods,Consumer Non-Durables,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1713,2020-08-04,Spouse,PSA,Public Storage,Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Real Estate Investment Trusts,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1714,2020-08-04,Spouse,MTCH,"Match Group, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Democrat,OR,"Computer Software: Programming, Data Processing",Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1715,2020-08-04,Spouse,KR,The Kroger Co.,Stock,Purchase,"$1,001 - $15,000",--,Democrat,OR,Food Chains,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1716,2020-08-04,Spouse,KLAC,KLA Corporation,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Electronic Components,Capital Goods,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1717,2020-08-04,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Services-Misc. Amusement & Recreation,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1718,2020-08-03,Spouse,MAR,"Marriott International, Inc.",Stock,Sale (Full),"$100,001 - $250,000",--,Democrat,OR,Hotels/Resorts,Consumer Services,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1719,2020-08-03,Spouse,VAC,Marriott Vacations Worldwide Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,OR,Real Estate,Finance,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1720,2020-08-03,Spouse,INTC,Intel Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,OR,Semiconductors,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1721,2020-07-31,Spouse,MSFT,Microsoft Corporation,Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Computer Software: Prepackaged Software,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1722,2020-07-30,Spouse,OSK,Oshkosh Corporation,Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Auto Manufacturing,Consumer Discretionary,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1723,2020-07-30,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$50,001 - $100,000",--,Democrat,OR,Semiconductors,Technology,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1724,2020-07-30,Spouse,BYND,"Beyond Meat, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Democrat,OR,Packaged Foods,Consumer Non-Durables,Ron Wyden,https://efdsearch.senate.gov/search/view/ptr/33782dc2-cf18-4f2f-82c3-64d6e9572596/,2020-08-29
1726,2020-07-22,Spouse,ICE,"Intercontinental Exchange, Inc.",Stock,Sale (Partial),"$5,000,001 - $25,000,000",Equity pursuant to the company he founded with predetermined sale dates pursuant to SEC Rule 10b5-1 plan filed with such company,Republican,GA,Investment Bankers/Brokers/Service,Finance,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/f7037949-03a0-43de-b7e3-f458f0aeaa16/,2020-08-21
1729,2019-02-27,Spouse,WW,"WW International, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Democrat,DE,Other Consumer Services,Consumer Services,Thomas R. Carper,https://efdsearch.senate.gov/search/view/ptr/1fddad5d-761e-48ac-8289-a7d72735d85f/,2020-08-13
1730,2019-05-16,Spouse,GE,General Electric Company,Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,VA,Consumer Electronics/Appliances,Energy,Tim Kaine,https://efdsearch.senate.gov/search/view/ptr/d2635397-12c0-4dcb-8e6b-acf0d9d86ee6/,2020-08-13
1733,2020-07-15,Spouse,TROW,"T. Rowe Price Group, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,LA,Investment Bankers/Brokers/Service,Finance,Bill Cassidy,https://efdsearch.senate.gov/search/view/ptr/6344c706-fb65-45d7-8156-45689c043c22/,2020-08-12
1734,2020-07-15,Spouse,PLD,"Prologis, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Republican,LA,Real Estate Investment Trusts,Consumer Services,Bill Cassidy,https://efdsearch.senate.gov/search/view/ptr/6344c706-fb65-45d7-8156-45689c043c22/,2020-08-12
1737,2019-07-05,Self,IBM,International Business Machines Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Computer Manufacturing,Technology,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/8dfe5942-3317-4c77-b2e8-d7d19a6b1126/,2020-08-07
1738,2019-07-05,Spouse,IBM,International Business Machines Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Computer Manufacturing,Technology,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/8dfe5942-3317-4c77-b2e8-d7d19a6b1126/,2020-08-07
1740,2020-07-20,Child,NKLA,Nikola Corporation,Stock,Sale (Partial),"$1,001 - $15,000",Child #2,Republican,PA,Industrial Machinery/Components,Industrials,Patrick J. Toomey,https://efdsearch.senate.gov/search/view/ptr/92d8b9a3-8ec2-4bbd-aa60-eb68b70d149d/,2020-08-06
1741,2020-07-09,Child,NKLA,Nikola Corporation,Stock,Purchase,"$1,001 - $15,000",Child #2,Republican,PA,Industrial Machinery/Components,Industrials,Patrick J. Toomey,https://efdsearch.senate.gov/search/view/ptr/92d8b9a3-8ec2-4bbd-aa60-eb68b70d149d/,2020-08-06
1742,2020-07-07,Child,TSLA,"Tesla, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Child #2,Republican,PA,Auto Manufacturing,Capital Goods,Patrick J. Toomey,https://efdsearch.senate.gov/search/view/ptr/92d8b9a3-8ec2-4bbd-aa60-eb68b70d149d/,2020-08-06
1743,2020-07-07,Child,TSLA,"Tesla, Inc.",Stock,Purchase,"$1,001 - $15,000",Child #2,Republican,PA,Auto Manufacturing,Capital Goods,Patrick J. Toomey,https://efdsearch.senate.gov/search/view/ptr/92d8b9a3-8ec2-4bbd-aa60-eb68b70d149d/,2020-08-06
1744,2020-07-06,Spouse,TGT,Target Corporation,Stock,Sale (Full),"$1,001 - $15,000",R,Republican,KS,Department/Specialty Retail Stores,Consumer Services,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/33d51e53-683b-4cdc-9575-8f72f9a71d57/,2020-08-05
